datetime,Model: PPFD_Avg+AirTC_Avg+Sedge+VWC+Grass,Model: PPFD_Avg,Model: AirTC_Avg,Model: Sedge,Model: VWC,Model: Grass,Model: PPFD_Avg+AirTC_Avg,Model: PPFD_Avg+Sedge,Model: PPFD_Avg+VWC,Model: PPFD_Avg+Grass,Model: PPFD_Avg+AirTC_Avg+Sedge,Model: PPFD_Avg+AirTC_Avg+VWC,Model: PPFD_Avg+AirTC_Avg+Grass,Model: PPFD_Avg+AirTC_Avg+Sedge+VWC,Model: PPFD_Avg+AirTC_Avg+VWC+Grass,BestModel: PPFD_Avg+AirTC_Avg+VWC
2016-07-12 09:00:00,0.02296186,-0.34332693,-1.4223057,-1.5889747,-1.830318,-1.6509626,0.3071879,-0.27449882,-0.32974398,-0.10855209,0.020613438,-0.10520386,0.12628484,0.20859134,0.025498992,-0.10458361
2016-07-12 09:30:00,-0.28382194,-0.46657455,-1.4179486,-1.5889747,-1.8303108,-1.583497,0.20370102,-0.3796152,-0.41994715,-0.23860204,-0.08458053,-0.1836325,-0.06633686,0.12622929,-0.22639549,-0.18299437
2016-07-12 10:00:00,-0.60339296,-1.0394386,-1.4337338,-1.5889747,-1.8303034,-1.6111485,-0.3158077,-0.87940544,-0.83057314,-0.6849674,-0.5706793,-0.5980693,-0.51541436,-0.26156116,-0.5832609,-0.59742403
2016-07-12 10:30:00,-1.109009,-1.7936525,-1.4408574,-1.5889747,-1.8303034,-1.6333824,-1.0859095,-1.6119771,-1.414307,-1.3369514,-1.2398862,-1.0733775,-1.181933,-0.7477863,-1.0927098,-1.071591
2016-07-12 11:00:00,-1.7503307,-2.5325725,-1.458499,-1.5889747,-1.8303034,-1.608135,-2.0105238,-2.34435,-1.9033538,-2.0397043,-1.9122118,-1.5093162,-1.9612465,-1.2549689,-1.7040755,-1.5073376
2016-07-12 11:30:00,-1.9134411,-2.7191412,-1.4610872,-1.5889747,-1.8303108,-1.6065319,-2.2952197,-2.5425375,-2.0438359,-2.2489896,-2.097495,-1.642325,-2.1811888,-1.4092966,-1.8490763,-1.6402575
2016-07-12 12:00:00,-2.736255,-3.5051112,-1.4586831,-1.5889747,-1.830318,-1.6391032,-3.5724409,-3.425074,-2.9107795,-3.3137047,-2.9939713,-2.3321638,-3.1635878,-2.3239825,-2.4508376,-2.3325665
2016-07-12 12:30:00,-2.4251184,-3.4707272,-1.47292,-1.5889747,-1.830318,-1.7689005,-3.5266123,-3.391686,-2.8595967,-3.4854429,-2.9426515,-2.3316736,-3.0878315,-2.2749677,-2.2061145,-2.33208
2016-07-12 13:00:00,-2.6352658,-3.5559082,-1.5163327,-1.5889747,-1.830318,-1.7363786,-3.6281915,-3.4743457,-2.986559,-3.5247574,-3.0110154,-2.459309,-3.2007883,-2.4084826,-2.3647573,-2.4596848
2016-07-12 13:30:00,-2.8403728,-4.2138157,-1.5814987,-1.5889769,-1.830318,-1.9510309,-4.1928115,-4.135954,-3.963906,-4.3359694,-3.6456056,-3.147451,-3.9345996,-3.2577684,-3.0710416,-3.1475973
2016-07-12 14:00:00,-4.1709375,-5.7882433,-1.7218529,-1.589029,-1.830318,-1.9646488,-5.4771423,-5.598913,-6.288785,-5.732191,-5.2024283,-4.682866,-5.283316,-4.66029,-4.4486814,-4.6831546
2016-07-12 14:30:00,-3.303693,-4.8176093,-1.7200128,-1.5892074,-1.8303108,-2.040546,-4.6835756,-4.729832,-4.9408584,-5.0732207,-4.2758465,-3.7990084,-4.696114,-3.8763988,-4.0861287,-3.7993839
2016-07-12 15:00:00,-2.891949,-3.9879215,-1.6625079,-1.5889747,-1.8303034,-1.853121,-4.047925,-3.8992245,-3.6390362,-4.1186166,-3.3931344,-2.987064,-3.6998925,-2.9712563,-2.8154848,-2.9872746
2016-07-12 15:30:00,-3.4080737,-4.568848,-1.7057515,-1.5889747,-1.8302963,-1.8761287,-4.4896464,-4.502135,-4.5235047,-4.6114516,-3.9982677,-3.5824492,-4.2181554,-3.666698,-3.3878694,-3.5828943
2016-07-12 16:00:00,-4.2422285,-4.930527,-1.7916378,-1.5889747,-1.830289,-1.6974195,-4.784329,-4.8289676,-5.140878,-4.9013414,-4.3843336,-3.9603465,-4.593223,-3.9786139,-3.7880244,-3.960677
2016-07-12 16:30:00,-4.9074845,-5.9392686,-1.856031,-1.5889747,-1.8302963,-1.7623446,-5.62441,-5.7345376,-6.46006,-5.750772,-5.322106,-4.917179,-5.5704665,-4.7998786,-4.649225,-4.9172945
2016-07-12 17:00:00,-4.319298,-5.610286,-1.9531097,-1.588978,-1.8303034,-1.875131,-5.365838,-5.4363465,-6.078778,-5.489806,-5.0102706,-4.7214847,-5.2098007,-4.5652466,-4.423326,-4.7214937
2016-07-12 17:30:00,-4.088427,-5.6863,-1.9495531,-1.5889763,-1.8303034,-2.0028634,-5.428677,-5.5058064,-6.1686206,-5.7097707,-5.0787373,-4.7838326,-5.2356315,-4.624484,-4.7023864,-4.7838283
